Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
23090.6204713,220477.703125,227971.078125,683630.1875,335504.0,-709066.5625,330193.3125,236240.875,-708298.5625,-0.1318359375,0.993408203125,0.09423828125,0.03051757626235485,2.014159917831421,0.5493163466453552,66.66667175292969,1397891.0,1.0
23090.6204878,220841.765625,228269.25,683944.375,335803.78125,-709056.75,330449.46875,236560.6875,-708288.75,-0.131103515625,0.992431640625,0.09521484375,-0.0915527269244194,2.105712652206421,0.6103515028953552,66.66667175292969,1397892.0,1.0
23090.6267295,221006.90625,228443.875,684142.5625,336015.03125,-709049.5625,330618.875,236747.984375,-708282.125,-0.13134765625,0.991455078125,0.097900390625,-0.1525878757238388,2.227782964706421,0.5493163466453552,66.66667175292969,1397893.0,1.0
23090.6267458,221073.78125,228530.953125,684242.0,336137.25,-709044.6875,330721.0,236825.859375,-708277.3125,-0.1298828125,0.9892578125,0.097900390625,-0.1831054538488388,2.319335699081421,0.5798339247703552,66.66667175292969,1397894.0,1.0
23090.6354956,220705.515625,228224.734375,683906.625,335821.9375,-709060.125,330466.625,236496.75,-708292.1875,-0.130126953125,0.988037109375,0.093505859375,-0.1525878757238388,2.349853277206421,0.4882812201976776,66.66667175292969,1397895.0,1.0
23090.6355147,220472.609375,227972.515625,683605.6875,335513.65625,-709061.1875,330239.71875,236237.46875,-708292.9375,-0.130615234375,0.98828125,0.09814453125,-0.1831054538488388,2.319335699081421,0.4272460639476776,66.66667175292969,1397896.0,1.0
23090.6392253,220834.4375,228272.75,683932.75,335818.78125,-709046.375,330500.34375,236557.828125,-708278.4375,-0.132080078125,0.98828125,0.09716796875,-0.2136230319738388,2.349853277206421,0.3356933295726776,66.66667175292969,1397897.0,1.0
23090.6392415,220998.765625,228450.578125,684141.6875,336030.6875,-709041.375,330673.6875,236747.8125,-708274.0,-0.1337890625,0.989501953125,0.0966796875,-0.2136230319738388,2.441406011581421,0.4577636420726776,66.66667175292969,1397898.0,1.0
23090.6474919,221071.375,228540.609375,684247.4375,336150.84375,-709037.75,330774.0,236827.5625,-708270.3125,-0.13427734375,0.988525390625,0.095458984375,-0.2746581733226776,2.410888433456421,0.4577636420726776,66.66667175292969,1397899.0,1.0
23090.6542254,220703.734375,228226.15625,683913.5,335837.46875,-709056.0,330520.0,236498.09375,-708288.4375,-0.13623046875,0.989013671875,0.09375,-0.1831054538488388,2.319335699081421,0.2746581733226776,66.66667175292969,1397900.0,1.0
23090.6542415,220474.21875,227969.03125,683611.9375,335531.34375,-709062.4375,330295.21875,236241.234375,-708294.6875,-0.13671875,0.98828125,0.094970703125,-0.1831054538488388,2.380370855331421,0.1525878757238388,66.66667175292969,1397901.0,1.0
23090.6628429,220840.078125,228273.640625,683952.125,335836.0625,-709051.4375,330557.5625,236565.6875,-708283.8125,-0.138671875,0.989501953125,0.093994140625,-0.1831054538488388,2.288818120956421,0.03051757626235485,66.66667175292969,1397902.0,1.0
23090.6628601,221011.109375,228458.171875,684169.0625,336055.71875,-709047.375,330734.125,236760.59375,-708280.25,-0.142578125,0.991943359375,0.095947265625,-0.1525878757238388,2.227782964706421,-0.1220703050494194,66.66667175292969,1397903.0,1.0
23090.6665847,221081.921875,228548.46875,684271.75,336179.0,-709040.75,330837.46875,236842.140625,-708273.875,-0.14306640625,0.9912109375,0.09619140625,-0.0610351525247097,2.105712652206421,-0.2136230319738388,66.66667175292969,1397904.0,1.0
23090.6666006,220716.421875,228241.453125,683944.5625,335870.1875,-709048.0,330589.8125,236519.375,-708280.5,-0.1416015625,0.9921875,0.097900390625,-0.2441406100988388,1.8920897245407104,-0.2746581733226776,66.66667175292969,1397905.0,1.0
23090.6736487,220486.015625,227994.234375,683653.8125,335568.90625,-709048.4375,330370.34375,236265.015625,-708280.875,-0.138916015625,0.993896484375,0.094482421875,-0.2746581733226776,1.9226073026657104,-0.3662109076976776,66.66667175292969,1397906.0,1.0
23090.6935875,220840.34375,228285.890625,683988.875,335864.65625,-709043.4375,330628.09375,236580.625,-708276.125,-0.138671875,0.9951171875,0.09619140625,-0.2441406100988388,1.7700194120407104,-0.3356933295726776,66.66667175292969,1397907.0,1.0
23090.6936029,221002.703125,228461.578125,684189.875,336069.75,-709044.125,330796.34375,236762.65625,-708277.125,-0.138427734375,0.9951171875,0.096435546875,-0.3662109076976776,1.8005369901657104,-0.2746581733226776,66.66667175292969,1397908.0,1.0
23090.6936072,221074.953125,228553.84375,684291.4375,336189.5625,-709039.9375,330898.375,236842.046875,-708273.0,-0.136474609375,0.99560546875,0.09375,-0.4272460639476776,1.8005369901657104,-0.2441406100988388,66.66667175292969,1397909.0,1.0
